NB: I medicinali carenti, per i quali il Titolare AIC non abbia provveduto a comunicare la data effettiva di fine carenza, continueranno ad essere presenti nella “Lista dei farmaci temporaneamente carenti”, anche oltre la “data di fine presunta” inizialmente comunicata e indicata nella presente lista;;;;;;;;;;;;
Elenco dei farmaci carenti aggiornato al 06/11/2025;;;;;;;;;;;;
Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilità;Codice ATC
KODIAK;044366019;KETOPROFENE SALE DI LISINA;"""40 MG GRANULATO"" 12 BUSTINE IN CARTA/AL/PE";PHARMEG S.R.L.;30/09/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;M01AE03
KOLEROS;045246042;ROSUVASTATINA SALE DI CALCIO;"""40 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE IN BLISTER AL/AL";KONPHARMA S.R.L.;30/09/2020;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C10AA07
KOLIBRI;036993071;PARACETAMOLO + TRAMADOLO CLORIDRATO;"""37,5 MG/325 MG COMPRESSE EFFERVESCENTI"" 20 COMPRESSE IN BLISTER";ALFASIGMA S.P.A.;17/12/2013;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N02AJ13
KOMEZOL;037759014;OMEPRAZOLO;""" 20 MG CAPSULE RIGIDE GASTRORESISTENTI"" 14 CAPSULE";KONPHARMA S.R.L.;14/02/2026;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC01
KOVALTRY;044726026;OCTOCOG ALFA;"250 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO); SOLVENTE: SIRINGA PRERIEMPITA (VETRO) - POLVERE: 250 UI; SOLVENTE: 2,5 ML (100 UI/ML) - 1 FLACONCINO + 1 SIRINGA PRERIEMPITA + 1 ADATTATORE PER FLACONCINO + 1 SET PER L''INFUSIONE IN VENA";BAYER AG;30/09/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02BD02
KOVALTRY;044726065;OCTOCOG ALFA;"1000 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO); SOLVENTE: SIRINGA PRERIEMPITA (VETRO) - POLVERE: 1000 UI; SOLVENTE: 2,5 ML (400 UI/ML) - 1 FLACONCINO + 1 SIRINGA PRERIEMPITA + 1 ADATTATORE PER FLACONCINO + 1 SET PER L''INFUSIONE IN VENA";BAYER AG;08/11/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02BD02
KOVALTRY;044726040;OCTOCOG ALFA;"500 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO); SOLVENTE: SIRINGA PRERIEMPITA (VETRO) - POLVERE: 500 UI; SOLVENTE: 2,5 ML (200 UI/ML) - 1 FLACONCINO + 1 SIRINGA PRERIEMPITA + 1 ADATTATORE PER FLACONCINO + 1 SET PER L''INFUSIONE IN VENA";BAYER AG;31/05/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;sostituita dalla confezione con AIC 044726141;A TOTALE CARICO DEL SSN.;B02BD02
KRYPTOCUR;026520015;GONADORELINA;"""0,2 MG/DOSE SPRAY NASALE, SOLUZIONE"" 2 FLACONI  10 G + 2 EROGATORI";CHEPLAPHARM ARZNEIMITTEL GMBH;31/12/2023;;No;Cessata commercializzazione definitiva;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;H01CA01
KUVAN;038922011;Sapropterina cloridrato;"""100 MG - COMPRESSA SOLUBILE - USO ORALE (HDPE)"" 30 COMPRESSE";BIOMARIN INTERNATIONAL LIMITED;31/10/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A16AX07
LACIDIPINA TECNIGEN;045840028;LACIDIPINE;"""6 MG COMPRESSA RIVESTITA CON FILM"" 14 COMPRESSE IN BLISTER OPA/AL/PVC/AL";TECNIGEN S.R.L.;02/12/2024;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C08CA09
LACIDIPINA TECNIGEN;045840016;LACIDIPINE;"""4 MG COMPRESSA RIVESTITA CON FILM"" 28 COMPRESSE IN BLISTER OPA/AL/PVC/AL";TECNIGEN S.R.L.;02/12/2024;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C08CA09
LACOSAMIDE ACCORD;045678265;LACOSAMIDE;10 mg / ml - Soluzione per infusione - Uso endovenoso - Flaconcino (vetro) 20 ml - 1 flaconcino;ACCORD HEALTHCARE, S.L.U.;17/09/2025;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N03AX18
LACOSAMIDE ARISTO;049660020;LACOSAMIDE;"""50 MG COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER PVC/AL";ARISTO PHARMA GMBH;24/07/2024;30/06/2026;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N03AX18
LACOSAMIDE DOC;045668086;LACOSAMIDE;"""200 MG COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER PVC/PVDC-AL";DOC GENERICI SRL;05/09/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N03AX18
LACOSAMIDE DR. REDDY'S;051051011;LACOSAMIDE;"""10 MG/ML SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 20 ML";DR. REDDY'S S.R.L.;28/06/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N03AX18
LACOSAMIDE SANDOZ;045648021;LACOSAMIDE;"""50 MG COMPRESSE RIVESTITE CON FILM"" 14 COMPRESSE IN BLISTER PVC/PVDC-AL";SANDOZ S.P.A.;01/03/2026;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N03AX18
LACOSAMIDE TEVA;045683822;LACOSAMIDE;"""200 MG COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER OPA/AL/PVC-AL";TEVA B.V.;14/03/2025;30/09/2025;Sì;Elevata richiesta (carenza relativa solo al canale ospedaliero);Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N03AX18
LACOSAMIDE ZENTIVA;048959112;LACOSAMIDE;"""200 MG COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER PVC/PVDC/AL";ZENTIVA ITALIA S.R.L.;07/08/2023;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N03AX18
LACOSAMIDE ZENTIVA;048959023;LACOSAMIDE;"""50 MG COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER PVC/PVDC/AL";ZENTIVA ITALIA S.R.L.;01/03/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N03AX18
LACRILUBE;034445015;PARAFFINA LIQUIDA + VASELINA BIANCA;"""42,5% + 57,3%  UNGUENTO OFTALMICO"" 1 TUBO DA 3,5 G";ABBVIE S.R.L.;31/12/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;S01XA20
LACRISOL;032184018;BENZALCONIO CLORURO;"""0,0045% + 0,5% COLLIRIO, SOLUZIONE"" 1 FLACONE DA 10 ML";BRUSCHETTINI S.R.L.;10/02/2026;15/05/2027;No;Elevata richiesta/problemi produttivi: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;S01XA20
LAMICTAL;027807066;LAMOTRIGINA;"""5  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI""  28  COMPRESSE IN BLISTER PVC/PVDC/FOGLIO DI ALLUMINIO";GLAXOSMITHKLINE S.P.A.;01/09/2020;;No;Cessata commercializzazione definitiva;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;N03AX09
LAMICTAL;027807054;LAMOTRIGINA;"""25  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI""  28  COMPRESSE";GLAXOSMITHKLINE S.P.A.;31/05/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;disponibile confezione sostitutiva AIC 027807243;A TOTALE CARICO DEL SSN.;N03AX09
LAMICTAL;027807092;LAMOTRIGINA;"""200  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI""  56  COMPRESSE";GLAXOSMITHKLINE S.P.A.;15/05/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;disponibile confezione sostitutiva AIC 027807472;A TOTALE CARICO DEL SSN.;N03AX09
LAMICTAL;027807078;LAMOTRIGINA;"""100  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI""  56  COMPRESSE";GLAXOSMITHKLINE S.P.A.;30/04/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;disponibile confezione sostitutiva AIC 027807395;A TOTALE CARICO DEL SSN.;N03AX09
LAMICTAL;027807080;LAMOTRIGINA;"""50  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI""  56  COMPRESSE";GLAXOSMITHKLINE S.P.A.;30/04/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;disponibile confezione sostitutiva AIC 027807320;A TOTALE CARICO DEL SSN.;N03AX09
LAMISIL;028176028;TERBINAFINA CLORIDRATO;"""250 MG COMPRESSE"" 8 COMPRESSE";NOVARTIS FARMA S.P.A.;18/07/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;D01BA02
LAMIVUDINA AUROBINDO ITALIA;049113018;LAMIVUDINA;"""100 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE PVC-AL";AUROBINDO PHARMA (ITALIA) S.R.L.;11/09/2025;;Sì;Elevata richiesta/problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AF05
LAMIVUDINA E ZIDOVUDINA AUROBINDO;042057012;LAMIVUDINA + ZIDOVUDINA;"""150 MG/300 MG COMPRESSE RIVESTITE CON FILM"" 60 COMPRESSE IN BLISTER PVC/PVDC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;29/09/2023;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J05AR01
LAMIVUDINA TEVA PHARMA B.V.;039922075;LAMIVUDINA;"""150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - CONTENITORE PER COMPRESSE(HDPE)"" 60 COMPRESSE";TEVA B.V.;31/12/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J05AF05
LAMIVUDINA TEVA PHARMA B.V.;039922149;LAMIVUDINA;"""300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - CONTENITORE PER COMPRESSE (HPDE)"" 30 COMPRESSE";TEVA B.V.;31/12/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J05AF05
LAMIVUDINA TEVA PHARMA B.V.;039922176;LAMIVUDINA;150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE) CON TAPPO A PROVA DI MANOMISSIONE - 60 COMPRESSE;TEVA B.V.;30/12/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J05AF05
LAMIVUDINA TEVA PHARMA B.V.;039922188;LAMIVUDINA;300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE) CON TAPPO A PROVA DI MANOMISSIONE - 30 COMPRESSE;TEVA B.V.;31/05/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J05AF05
LANSOPRAZOLO ABC;038064010;LANSOPRAZOLO;""" 15 MG CAPSULE RIGIDE GASTRORESISTENTI "" 14 CAPSULE IN BLISTER";ABC FARMACEUTICI S.P.A.;31/03/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO ABC;038064059;LANSOPRAZOLO;""" 30 MG CAPSULE RIGIDE GASTRORESISTENTI "" 14 CAPSULE IN BLISTER";ABC FARMACEUTICI S.P.A.;01/04/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO ALMUS;037265016;LANSOPRAZOLO;""" 15 MG CAPSULE RIGIDE "" 14 CAPSULE";ALMUS S.R.L.;31/12/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO ALMUS;037265028;LANSOPRAZOLO;""" 30 MG CAPSULE RIGIDE "" 14 CAPSULE";ALMUS S.R.L.;01/05/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO AUROBINDO;042680037;LANSOPRAZOLO;"""15 MG CAPSULE RIGIDE GASTRORESISTENTI"" 14 CAPSULE IN FLACONE HDPE";AUROBINDO PHARMA (ITALIA) S.R.L.;20/01/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO AUROBINDO;042680076;LANSOPRAZOLO;"""30 MG CAPSULE RIGIDE GASTRORESISTENTI"" 14 CAPSULE IN FLACONE HDPE";AUROBINDO PHARMA (ITALIA) S.R.L.;20/01/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO EG STADA;044145276;LANSOPRAZOLO;"""15 MG COMPRESSE ORODISPERSIBILI"" 14 COMPRESSE IN BLISTER AL/AL";EG S.P.A.;28/02/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO EG STADA;044145288;LANSOPRAZOLO;"""15 MG COMPRESSE ORODISPERSIBILI"" 28 COMPRESSE IN BLISTER AL/AL";EG S.P.A.;01/07/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO EG STADA;044145086;LANSOPRAZOLO;"""30 MG COMPRESSE ORODISPERSIBILI"" 28 COMPRESSE IN BLISTER AL/AL";EG S.P.A.;01/07/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO MYLAN GENERICS ITALIA;041692031;LANSOPRAZOLO;"""15 MG COMPRESSE ORODISPERSIBILI"" 28 COMPRESSE IN BLISTER OPA/AL/PVC/CARTA/PET/AL/HSL";MYLAN S.P.A.;20/05/2025;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO TECNIGEN;037187046;LANSOPRAZOLO;"""30 MG CAPSULE RIGIDE GASTRORESISTENTI"" 28 CAPSULE IN BLISTER AL/AL";TECNIGEN S.R.L.;30/06/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO TECNIGEN;037187034;LANSOPRAZOLO;"""15 MG CAPSULE RIGIDE GASTRORESISTENTI"" 28 CAPSULE IN BLISTER AL/AL";TECNIGEN S.R.L.;31/07/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO TECNIGEN;037187022;LANSOPRAZOLO;""" 30 MG CAPSULE RIGIDE GASTRORESISTENTI"" 14 CAPSULE";TECNIGEN S.R.L.;30/06/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO TECNIGEN;037187010;LANSOPRAZOLO;""" 15 MG CAPSULE RIGIDE GASTRORESISTENTI "" 14 CAPSULE";TECNIGEN S.R.L.;16/06/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO ZENTIVA;036705022;LANSOPRAZOLO;"""15 MG CAPSULE RIGIDE GASTRORESISTENTI"" 28 CAPSULE";ZENTIVA ITALIA S.R.L.;29/03/2024;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LANSOPRAZOLO ZENTIVA;036705034;LANSOPRAZOLO;"""30 MG CAPSULE RIGIDE GASTRORESISTENTI"" 14 CAPSULE";ZENTIVA ITALIA S.R.L.;29/07/2024;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC03
LARIAM;027250024;MEFLOCHINA CLORIDRATO;"""250 MG COMPRESSE"" 8 COMPRESSE";CHEPLAPHARM ARZNEIMITTEL GMBH;24/02/2025;31/12/2025;No;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;P01BC02
LAROXYL;019906015;AMITRIPTILINA CLORIDRATO;"""25MG COMPRESSE RIVESTITE"" 25 COMPRESSE";TEOFARMA S.R.L.;03/10/2025;17/11/2025;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N06AA09
LASONIL ANTINFIAMMATORIO  E ANTIREUMATICO;032790077;NAPROXENE;"""660 MG COMPRESSA A RILASCIO MODIFICATO"" 12 COMPRESSE";BAYER S.P.A.;31/01/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;M01AE02
LATANOPROST AUROBINDO;039238011;LATANOPROST;"""50 MCG/ML COLLIRIO, SOLUZIONE"" 1 FLACONE LDPE DA 2,5 ML";AUROBINDO PHARMA (ITALIA) S.R.L.;22/11/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01EE01
LATANOPROST E TIMOLOLO EG;041504010;LATANOPROST + TIMOLOLO;"""50 MICROGRAMMI/ML + 5 MG/ML COLLIRIO, SOLUZIONE"" 1 FLACONE LDPE 2,5 ML";EG S.P.A.;01/02/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01ED51
LATANOPROST E TIMOLOLO ZENTIVA;040822013;LATANOPROST + TIMOLOLO;"""50 MICROGRAMMI/ML + 5 MG/ML COLLIRIO, SOLUZIONE"" 1 FLACONE IN LDPE DA 2,5 ML CON CONTAGOCCE";ZENTIVA ITALIA S.R.L.;17/07/2023;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01ED51
LATANOPROST SIFI;039972017;LATANOPROST;"""0,005% COLLIRIO, SOLUZIONE"" 1 FLACONE CONTAGOCCE DA 2,5 ML";SIFI S.P.A.;11/08/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01EE01
LATANOPROST ZENTIVA;039974011;LATANOPROST;"""0,005% COLLIRIO, SOLUZIONE"" 1 FLACONE CONTAGOCCE DA 2,5 ML";ZENTIVA ITALIA S.R.L.;30/11/2022;;Sì;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01EE01
LATATIM;040871016;LATANOPROST + TIMOLOLO;"""50 MICROGRAMMI/ML + 5 MG/ML COLLIRIO, SOLUZIONE"" 1 FLACONE LDPE 2,5 ML";SIFI S.P.A.;22/01/2022;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01ED51
LATTULAC;034206058;LATTULOSIO;""" 67,0 G/100 ML SCIROPPO "" 40 BUSTINE DA 15 ML";ALFASIGMA S.P.A.;01/06/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A06AD11
LATTULAC;034206045;LATTULOSIO;""" 67,0 G/100 ML SCIROPPO "" 20 BUSTINE DA 15 ML";ALFASIGMA S.P.A.;01/06/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A06AD11
LATTULAC;034206033;LATTULOSIO;""" 67,0 G/100 ML SCIROPPO "" 10 BUSTINE DA 15 ML";ALFASIGMA S.P.A.;01/06/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A06AD11
LATTULAC EPS;030727010;LATTULOSIO;"""66,7 G/100ML SCIROPPO"" FLACONE DA 180 ML";ALFASIGMA S.P.A.;01/06/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A06AD11
LATTULAC EPS;030727022;LATTULOSIO;"""10 G GRANULATO PER SOLUZIONE ORALE"" 20 BUSTINE";ALFASIGMA S.P.A.;01/06/2018;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A06AD11
LATTULOSIO ZENTIVA;029160025;LATTULOSIO;"""66,7G/100ML SCIROPPO"" FLACONE 200 ML";ZENTIVA ITALIA S.R.L.;27/03/2023;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A06AD11
LAUROMICINA;019924024;ERITROMICINA STEARATO + FLUOCINOLONE ACETONIDE;"""1,667% + 0,025% UNGUENTO"" TUBO DA 30 G";MORGAN S.R.L.;15/06/2025;31/07/2025;No;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D07CC02
LAXIDO;041547047;MACROGOL 3350 + POTASSIO CLORURO + SODIO CARBONATO + SODIO CLORURO;"""POLVERE PER SOLUZIONE ORALE"" 20 BUSTINE CARTA/LDPE-AL";INTERGAL PHARMA IRELAND LIMITED;30/05/2025;15/10/2025;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A06AD65
LEFLUNOMIDE MEDAC;042083067;LEFLUNOMIDE;"""20 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE)"" 30 COMPRESSE RIVESTITE CON FILM";MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH;01/07/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L04AK01
LEFLUNOMIDE ZENTIVA;041079056;LEFLUNOMIDE;"""20 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE)"" 30 COMPRESSE";ZENTIVA K.S.;27/10/2023;;Sì;Elevata richiesta/problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L04AK01
LEGALON;022258040;SILIMARINA (SILYBUM MARIANUM L.GAERTNER);"""70 MG COMPRESSE RIVESTITE"" 40 COMPRESSE";Viatris Healthcare Limited;30/11/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A05BA03
LENALIDOMIDE ACCORD;047188077;LENALIDOMIDE;10 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (OPA/ALU/PVC/ALU) - 21 X 1 CAPSULE (DOSE UNITARIA);ACCORD HEALTHCARE, S.L.U.;04/06/2025;;Sì;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L04AX04
