NB: I medicinali carenti, per i quali il Titolare AIC non abbia provveduto a comunicare la data effettiva di fine carenza, continueranno ad essere presenti nella “Lista dei farmaci temporaneamente carenti”, anche oltre la “data di fine presunta” inizialmente comunicata e indicata nella presente lista;;;;;;;;;;;;
Elenco dei farmaci carenti aggiornato al 06/11/2025;;;;;;;;;;;;
Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilità;Codice ATC
ACIDO ALENDRONICO E COLECALCIFEROLO AUROBINDO;044670014;ALENDRONATO SODICO TRIIDRATO + COLECALCIFEROLO;"""70 MG /2800 U. I. COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;31/01/2023;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO AUROBINDO;044670026;ALENDRONATO SODICO TRIIDRATO + COLECALCIFEROLO;"""70 MG /5600 U. I. COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;31/01/2023;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO EG;044731038;ACIDO ALENDRONICO + COLECALCIFEROLO;"""70 MG/5.600 UI COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC-AL";EG S.P.A.;01/11/2022;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO EG;044731014;ACIDO ALENDRONICO + COLECALCIFEROLO;"""70 MG/2.800 UI COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC-AL";EG S.P.A.;15/12/2022;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO ZENTIVA;044520029;ALENDRONATO SODICO TRIIDRATO + COLECALCIFEROLO;"""70MG/2.800 UI COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC - AL";ZENTIVA ITALIA S.R.L.;24/10/2022;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO ZENTIVA;044520056;ALENDRONATO SODICO TRIIDRATO + COLECALCIFEROLO;"""70MG/5.600 UI COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC - AL";ZENTIVA ITALIA S.R.L.;24/10/2022;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO BORICO AFOM;029964018;ACIDO BORICO;"""3% UNGUENTO"" TUBO 30 G";AEFFE FARMACEUTICI SRL;08/03/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AD
ACIDO BORICO ALMUS;031310028;ACIDO BORICO;"""3% UNGUENTO"" TUBO DA 30 G";ALMUS S.R.L.;01/02/2019;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AD
ACIDO BORICO MARCO VITI;030358028;ACIDO BORICO;UNGUENTO 3% 50 G;MARCO VITI FARMACEUTICI S.P.A.;08/04/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AD
ACIDO CLODRONICO DOC GENERICI;044626012;ACIDO CLODRONICO SALE DISODICO TETRAIDRATO + LIDOCAINA CLORIDRATO;"""100 MG + 33 MG SOLUZIONE INIETTABILE CON LIDOCAINA” 6 FIALE IN VETRO DA 3,3 ML.";DOC GENERICI SRL;28/02/2026;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;M05BA02
ACIDO IBANDRONICO ACCORD;042505026;ACIDO IBANDRONICO;ACIDO IBANDRONICO ACCORD - 6 MG CONCENTTRATO PER SOLUZIONE PR INFUSIONE - USO ENDOVENOSO- FLACONCINO (VETRO) - 6 ML - 1 FLACONCINO;ACCORD HEALTHCARE, S.L.U.;16/08/2021;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;C NON NEGOZIATA;M05BA06
ACIDO IBANDRONICO ALTER;040658015;ACIDO IBANDRONICO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER PA/AL/PVC-AL";LABORATORI ALTER S.R.L.;23/11/2025;;Sì;Elevata richiesta/problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO DOC GENERICI;040186013;ACIDO IBANDRONICO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER AL/AL";DOC GENERICI SRL;04/07/2025;;Sì;Problemi regolatori;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO MYLAN;040655019;IBANDRONATO SODICO MONOIDRATO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER OPA-AL-PVC/AL";MYLAN S.P.A.;09/12/2024;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO SANDOZ;040191013;ACIDO IBANDRONICO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER PA/AL/PVC-AL/AL";SANDOZ S.P.A.;24/07/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO TECNIGEN;042419034;ACIDO IBANDRONICO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER PVDC/PVC/AL";TECNIGEN S.R.L.;30/10/2024;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO TEVA;040366039;IBANDRONATO SODICO MONOIDRATO;""" 150 MG.-COMPRESSA RIVESTITA CON FILM-USO ORALE-BLISTER(PVC/ACLAR/PVC-ALU)"" 1 COMPRESSA";TEVA B.V.;09/04/2024;31/03/2026;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO ZENTIVA;040007041;ACIDO IBANDRONICO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER PVC/PVDC/AL";ZENTIVA ITALIA S.R.L.;30/11/2022;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO MICOFENOLICO ACCORD;043305034;ACIDO MICOFENOLICO;"""180 MG COMPRESSE GASTRORESISTENTI"" 100 COMPRESSE IN BLISTER AL/AL";ACCORD HEALTHCARE BV;29/01/2025;;Sì;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;L04AA06
ACIDO SALICILICO NA;030578013;ACIDO SALICILICO;"""2% UNGUENTO"" TUBO 30 G";INDUSTRIA FARMACEUTICA NOVA ARGENTIA S.R.L.;30/11/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D11AF
ACIDO SALICILICO NA;030578037;ACIDO SALICILICO;"""10% UNGUENTO"" TUBO 30 G";INDUSTRIA FARMACEUTICA NOVA ARGENTIA S.R.L.;28/06/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D11AF
ACIDO TRANEXAMICO AUROBINDO;044760039;ACIDO TRANEXAMICO;"""100 MG/ML SOLUZIONE INIETTABILE"" 6 FIALE IN VETRO DA 5 ML";Eugia Pharma (Malta) Limited;17/10/2022;;Sì;Cessata commercializzazione temporanea;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;B02AA02
ACIDO TRANEXAMICO BIOINDUSTRIA L.I.M.;035748019;ACIDO TRANEXAMICO;"""500 MG/5 ML SOLUZIONE INIETTABILE PER USO ENDOVENOSO E PER USO ORALE"" 5 FIALE DA 5 ML";BIOINDUSTRIA LABORATORIO ITALIANO MEDICINALI S.P.A.;10/03/2025;31/12/2025;Sì;Elevata richiesta: distribuzione contingentata;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;B02AA02
ACIDO TRICLOROACETICO ZETA;031296015;ACIDO TRICLORACETICO;"""50% SOLUZIONE CUTANEA"" FLACONE DA 10 ML";ZETA FARMACEUTICI S.P.A.;20/05/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D11AF
ACIDO URSODESOSSICOLICO EG STADA;024615080;ACIDO URSODESOSSICOLICO;"""300 MG COMPRESSE""20 COMPRESSE";EG S.P.A.;01/09/2020;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A05AA02
ACIDO URSODESOSSICOLICO EG STADA;024615078;ACIDO URSODESOSSICOLICO;"""150 MG COMPRESSE""20 COMPRESSE";EG S.P.A.;01/04/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A05AA02
ACIDO ZOLEDRONICO FRESENIUS KABI;042277018;ACIDO ZOLEDRONICO;""" 4 MG/5 ML CONCENTRATO PER SOLUZIONE PER INFUSIONE "" 1 FLACONCINO IN PLASTICA";FRESENIUS KABI ITALIA S.R.L.;18/02/2024;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;M05BA08
