codice_aic;principio_attivo;quantita;unita_misura
001234083;COMPLESSO VITAMINICO;;
001234095;COMPLESSO VITAMINICO;;
001234107;COMPLESSO VITAMINICO;;
001234119;COMPLESSO VITAMINICO;;
001235011;SULFOGUAIACOLO/TIMO/BALSAMO DEL TOLU';80;grammi
001240011;EUCALIPTOLO/GUAIACOLO;;
001240023;EUCALIPTOLO/GUAIACOLO;;
001240035;EUCALIPTOLO/GUAIACOLO;;
001240047;EUCALIPTOLO/GUAIACOLO;;
001247016;ARGENTO VITELLINATO/EFEDRINA SOLFATO/SODIO SOLFATO ANIDRO;;
001247028;ARGENTO VITELLINATO/EFEDRINA SOLFATO/SODIO SOLFATO ANIDRO;;
001247030;ARGENTO VITELLINATO/EFEDRINA SOLFATO/SODIO SOLFATO ANIDRO;;
001248018;PROPIFENAZONE/CAFFEINA;;
001248020;PROPIFENAZONE/CAFFEINA;;
001249010;N.D.;0;N.D.
001250012;CASCARA/BOLDO;;grammi
001250024;CASCARA/BOLDO/INOSITOLO/CIANOCOBALAMINA;;grammi
001250036;CASCARA/BOLDO/INOSITOLO/CIANOCOBALAMINA;;milligrammi
001250036;CASCARA/BOLDO/INOSITOLO/CIANOCOBALAMINA;;MG
001250048;CASCARA/BOLDO/INOSITOLO/CIANOCOBALAMINA;;
001256015;NAFAZOLINA NITRATO;;
001256027;NAFAZOLINA NITRATO;;
001256039;N.D.;0;N.D.
001256041;N.D.;0;N.D.
001263019;N.D.;0;N.D.
001265014;N.D.;0;N.D.
001265026;N.D.;0;N.D.
001266016;N.D.;0;N.D.
001266028;N.D.;0;N.D.
001266030;EMATOPORFIRINA/NICOTINAMIDE;;
001266042;EMATOPORFIRINA/NICOTINAMIDE;;
001266055;EMATOPORFIRINA/NICOTINAMIDE;;
001266067;EMATOPORFIRINA/NICOTINAMIDE;;
001266079;N.D.;0;N.D.
001266081;N.D.;0;N.D.
001269012;SODIO ASCORBATO;;
001277019;N.D.;0;N.D.
001277021;N.D.;0;N.D.
001283011;TIROTRICINA;;
001288012;ZINCO SOLFATO/AMMONIO CLORURO/CANFORA/ZAFFERANO/ADRENALINA;;
001295017;N.D.;0;N.D.
001295029;N.D.;0;N.D.
001306012;N.D.;0;N.D.
001306024;N.D.;0;N.D.
001306036;N.D.;0;N.D.
001306048;N.D.;0;N.D.
001328018;DEXPANTENOLO;;
001328020;DEXPANTENOLO;250;milligram(s)/millilitre
001328032;DEXPANTENOLO;250;milligram(s)/millilitre
001335013;N.D.;0;N.D.
001340013;N.D.;0;N.D.
001340025;PIRIDOSSINA CLORIDRATO;3000;milligrammi
001340025;PIRIDOSSINA CLORIDRATO;3000;MG
001340037;N.D.;0;N.D.
001340049;PIRIDOSSINA CLORIDRATO;;
001340052;PIRIDOSSINA CLORIDRATO;3000;milligrammi
001340052;PIRIDOSSINA CLORIDRATO;3000;MG
001350014;RETINOLO PALMITATO;;
001363011;ACIDO ACETILSALICILICO;;
001363023;ACIDO ACETILSALICILICO;;
001363035;ACIDO ACETILSALICILICO;;
001363047;ACIDO ACETILSALICILICO;;
001363050;ACIDO ACETILSALICILICO;;
001363062;ACIDO ACETILSALICILICO;500;MG
001363062;ACIDO ACETILSALICILICO;500;milligrammi
001363074;ACIDO ACETILSALICILICO;500;MG
001363074;ACIDO ACETILSALICILICO;500;milligrammi
001363086;ACIDO ACETILSALICILICO;500;milligrammi
001363086;ACIDO ACETILSALICILICO;500;MG
001363098;ACIDO ACETILSALICILICO/ACIDO ASCORBICO;;
001363100;ACIDO ACETILSALICILICO/ACIDO ASCORBICO;;
001363112;ACIDO ACETILSALICILICO;500;MG
001363112;ACIDO ACETILSALICILICO;500;milligrammi
001363124;ACIDO ACETILSALICILICO;500;milligrammi
001363124;ACIDO ACETILSALICILICO;500;MG
001363136;ACIDO ACETILSALICILICO;;
001363148;ACIDO ACETILSALICILICO/ACIDO ASCORBICO;;
001363151;ACIDO ACETILSALICILICO/ACIDO ASCORBICO;;
001363163;ACIDO ACETILSALICILICO;;
001363175;ACIDO ACETILSALICILICO;;
001363187;ACIDO ACETILSALICILICO/ACIDO ASCORBICO;;MG
001363187;ACIDO ACETILSALICILICO/ACIDO ASCORBICO;;milligrammi
001363199;ACIDO ACETILSALICILICO/ACIDO ASCORBICO;;MG
001363199;ACIDO ACETILSALICILICO/ACIDO ASCORBICO;;milligrammi
001372010;PROGESTERONE/TOCOFEROLO ALFA;;
001372022;PROGESTERONE/TOCOFEROLO ALFA;;
001424011;N.D.;0;N.D.
001424023;N.D.;0;N.D.
001424035;N.D.;0;N.D.
001424047;N.D.;0;N.D.
001440015;N.D.;0;N.D.
001440027;CAFFEINA;;
001440027;PARACETAMOLO;;
001440027;ACIDO ACETILSALICILICO;;
001440039;PARACETAMOLO;;
001440039;CAFFEINA;;
001440039;ACIDO ACETILSALICILICO;;
001440041;ACIDO ACETILSALICILICO;;
001440041;PARACETAMOLO;;
001440041;CAFFEINA;;
001440054;PARACETAMOLO;;
001440054;CAFFEINA;;
001440054;ACIDO ACETILSALICILICO;;
001440066;ACIDO ACETILSALICILICO;;
001440066;CAFFEINA;;
001440066;PARACETAMOLO;;
